item,kcal,jog,cat,serv,unit,points,cnt,total,Eiweiß,Fett,Kohlenhydrate,davon Zucker,Ballaststoffe,Alkohol,Kalorien,Energiedichte
Brötchen mit Käse,400,40,Ausw,60,g,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Folienkartoffeln mit Quark,600,60,Ausw,1,Port.,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Krabbenbrötchen,750,75,Ausw,1,St.,7.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Pizza,500,50,Ausw,100,g,5,0,0,10,11,30,4.6,3,0,265,2.6
Pommes Frites,950,95,Ausw,1,Port.,9.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Tomatensuppe,250,25,Ausw,1,Port.,2.5,0,0,0.7,0.3,7,3.5,0.5,0,34,0.3
Türkische Pizza,700,70,Ausw,1,Port.,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Erdnusscreme,100,10,Br_A,5,g,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Honig,50,5,Br_A,10,g,0.5,0,0,0,0,78,78,0,0,312,3.1
Honig,0,0,Br_A,1,Port.,0,0,0,0,0,78,78,0,0,312,3.1
Marmelade/Konfitüre 1 TL,0,0,Br_A,1,Port.,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Marmelade/Konfitüre 2 TL,50,5,Br_A,10,g,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Pflaumenmus,50,5,Br_A,3,TL,0.5,0,0,0.7,0,50,50,2,0,207,2.1
Zuckerrübensirup 2 TL,50,5,Br_A,10,g,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Baguettebrötchen,400,40,Brot,1,St.,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Brot,200,20,Brot,1,Schb.,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Brötchen,200,20,Brot,1,St.,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Croissant,850,85,Brot,1,St.,8.5,0,0,6.1,27,41,6.8,1.7,0,435,4.3
Fladenbrot,200,20,Brot,50,g,2,0,0,4.7,0.8,45,2,6.4,0,219,2.2
Knäckebrot,50,5,Brot,1,Schb.,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Toastbrot,100,10,Brot,20,g,1,0,0,7,1.6,49.4,3,4,0,248,2.5
Apfelkompott/-mus mit Zucker,50,5,Dess,2,TL,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Crepe,400,40,Dess,70,g,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Dampfnudel,350,35,Dess,50,g,3.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Fruchtsalat,50,5,Dess,40,g,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Grießbrei,400,40,Dess,150,g,4,0,0,3.7,2.9,16,4,0,0,105,1
Milchreis,200,20,Dess,125,g,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Mokka-/Schokoladensauce,50,5,Dess,20,ml,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Vanille-/Schockladenpudding,300,30,Dess,125,g,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Vanillesauce,50,5,Dess,20,ml,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Weincreme,700,70,Dess,125,g,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Eiscreme,250,25,Eis,50,g,2.5,0,0,3.8,12,20,20,0,0,203,2
Eiscreme,250,25,Eis,50,g,2.5,0,0,3.5,11,24,21,0.7,0,210,2.1
Eiskaffee,550,55,Eis,200,ml,5.5,0,0,1,5,5,5,0,0,69,0.7
Fruchteis-/Milcheis,150,15,Eis,50,g,1.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Wassereis am Stiel,100,10,Eis,110,ml,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Alkoholfreies Bier,100,10,Getr,200,ml,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Apfelsaftschorle,50,5,Getr,200,ml,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Bier,250,25,Getr,330,ml,2.5,0,0,0,0,3,3,0,4,40,0.4
Cappuccino mit Milch,100,10,Getr,150,ml,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Diät-Multivitaminsaft,50,5,Getr,200,ml,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Fruchtsaft,100,10,Getr,200,ml,1,0,0,0,0,10,10,0,0,40,0.4
Kakao,500,50,Getr,200,ml,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Artischocken,0,0,Gmü,1,Port.,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Chinakohl,0,0,Gmü,1,Port.,0,0,0,0.7,0.3,0.8,0.7,2,0,13,0.1
Gurken eingelegt,0,0,Gmü,1,Port.,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Hülsenfrüchte,50,5,Gmü,1,EL,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Kürbis,0,0,Gmü,1,Port.,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Mais,50,5,Gmü,50,g,0.5,0,0,2,0,18,4,3,0,86,0.9
Oliven,50,5,Gmü,5,St.,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Porree,0,0,Gmü,1,Port.,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Rotkohl,0,0,Gmü,1,Port.,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Sellerie, Chhicoree",0,0,Gmü,1,Port.,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
